,aback,about,above,across,after,against,ahead,along,among,apart,around,as,aside,at,away,back,before,behind,below,between,beyond,by,down,even,for,forth,forward,from,in,into,it,of,off,on,one,onto,open,out,over,past,round,through,to,together,toward,towards,under,up,upon,way,with,without
perk,0,1593,146,104,1763,624,14,555,95,34,265,10661,136,8324,436,3107,1996,155,75,126,86,2270,258,1461,58934,0,54,12944,42964,1604,8885,62202,845,38079,997,120,51,1716,1437,46,24,349,59871,88,10,75,846,50013,111,118,10212,1179
permit,0,365,35,37,2803,49,220,324,16,8,183,7277,18,10865,133,724,4598,45,12,138,64,2239,105,1449,74848,2,9,18587,30412,293,27679,2858,204,6172,1673,26,494,592,567,32,7,1387,114303,54,1,11,1066,530,254,79,5403,2411
peter,0,1633,44,47,1540,118,7,151,37,56,380,10099,84,5415,308,2003,1222,98,19,52,21,1525,588,1526,7447,2,27,7787,19710,1661,1358,1808,2037,4778,423,37,30,18242,923,14,14,433,31347,221,12,48,280,733,140,129,4313,553
phase,0,2151,171,174,14392,4288,334,480,121,78,2799,30959,128,22555,888,4053,16183,712,113,5708,173,10571,1461,3816,51320,0,127,9287,98470,9017,30602,389523,708,17754,39209,146,90,93571,3049,264,91,30641,54627,478,125,533,541,1756,108,563,61319,7624
phone,0,31581,2485,10105,62821,9114,2000,3512,381,4076,25230,227216,2230,326334,67254,82940,77157,7960,806,7590,945,46935,97221,25429,610876,2,451,186563,716167,79943,114177,51488,98806,384960,17211,6493,4835,170026,39374,1168,407,32286,985784,3253,371,1704,16175,81992,890,3734,738671,94278
pick,1,6693,1274,768,22230,27227,2449,2632,3302,95413,9666,78317,520,190666,13565,45931,25035,1368,514,124656,284,28440,2774,11017,444464,8,160,267424,362156,18998,1769053,192856,150660,400609,1370878,567,1566,595964,23210,533,660,29073,219957,675,107,538,2071,9282784,499,989,94473,7496
piddle,0,203,0,0,6,2,0,88,0,0,1724,25,0,40,290,3,17,3,0,3,0,14,36,1,33,0,0,22,382,10,78,120,39,538,2,4,0,158,37,0,0,22,46,0,0,0,1,4,2,2,258,5
piece,0,73391,3396,1195,15676,5670,217,2352,603,1404,5748,58846,725,75016,8297,11857,17221,2446,1441,4467,360,165772,6751,5610,210634,1,426,110963,228421,15467,67251,11657273,24790,248804,6345,4157,448,31030,12344,199,160,4530,240102,141929,226,862,4489,9522,299,645,119241,15402
pig,0,990,142,128,1952,160,25,132,165,63,921,8275,30,7745,289,1087,2434,339,53,179,20,2660,996,912,28785,1,7,7811,63354,2308,2806,10095,1017,19154,2314,134,104,26766,1702,22,48,599,28558,174,31,144,797,1644,35,126,18449,1233
pile,0,858,146,155,2805,420,46,917,53,71,1024,8934,57,9636,442,1846,2453,1213,399,262,32,3400,983,810,18762,1,258,3769,46147,13780,22055,1748113,1001,156693,959,6887,23,3691,2549,33,35,704,20238,1197,35,122,1247,169796,438,127,16494,1480
pin,1,865,758,317,4034,1115,28,482,44,46,1013,12430,43,13766,668,7475,4102,521,289,830,29,3680,136598,1187,40924,0,294,18991,68915,7803,118157,18929,3156,97837,6838,739,167,17007,2531,103,165,5867,81656,491,42,181,1187,25153,257,224,20421,2192
pine,0,616,27,41,4589,84,3,49,18,7,191,2810,5,1377,2240,188,343,449,9,141,4,528,197,145,34947,0,27,2141,6399,197,534,837,103,3085,446,18,8,224,5617,7,20,91,4453,68,11,30,76,199,6,31,2518,153
pipe,0,1499,1445,655,4078,761,50,866,46,171,2567,12776,84,15305,1258,3362,5731,1618,928,3181,74,3881,41408,803,37616,0,62,21109,75187,8666,20232,14636,3001,28288,1507,972,408,11378,3764,175,44,4672,59706,896,61,277,4130,29592,52,274,41674,2855
piss,0,10189,90,279,7697,1693,17,230,32,15,7694,7633,63,23435,37340,1334,6653,1527,58,899,32,3481,5857,1539,19227,3,22,10394,209242,19344,29854,60559,853148,306998,4102,880,22,204418,4274,92,52,3204,23298,471,29,144,1169,17610,343,392,22528,5260
pit,0,1065,197,227,4857,5877,115,510,37,39,1586,11814,108,23144,370,1092,4961,1801,1632,838,62,5391,1432,1205,40102,57,68,10368,68795,2956,8851,196264,1196,17714,4294,233,401,4173,2209,61,59,477,39480,1132,51,269,2954,3042,69,216,35186,3012
pitch,0,5053,639,281,8880,7959,275,500,122,156,6084,26086,208,38670,1871,2893,7730,921,414,1394,207,13025,11132,2724,86613,4,2209,15214,192990,5161,57900,63389,2063,27903,4598,333,112,8721,5556,495,41,2283,127447,2466,227,891,877,22564,77,954,32468,5017
pivot,0,370,46,71,1022,500,30,139,7,27,4162,2408,9,3197,5549,3516,594,302,29,821,18,858,570,176,4764,1,356,8443,8954,8230,2287,4613,2038,11048,258,269,74,2048,706,36,51,269,48492,89,1030,3795,163,1033,143,58,5622,495
plan,0,13565,1679,710,30018,20704,205229,2902,532,474,61690,108073,787,87819,1557,6314,40184,6339,563,2759,5159,45392,5153,12037,1491008,43,2530,90546,306845,16116,144937,356166,3911,4195912,10747,552,324,200524,10182,1341,124,20548,4615348,21303,442,2131,4829,9214,788,2637,213268,18463
plant,0,3274,966,884,5737,716,83,1087,193,231,3830,29086,133,25896,1481,3836,8355,2184,342,860,167,14015,7418,2727,57151,1,59,31260,204965,12124,71850,16748,3318,51540,12284,820,1145,11120,5345,127,106,1902,114205,508,65,295,3226,5349,109,522,47909,5422
plaster,0,47,63,144,163,37,1,32,3,12,422,591,4,369,55,131,237,126,29,79,4,122,201,42,1689,0,0,876,2329,327,8306,6784,1513,8836,223,171,8,323,4302,2,20,19,3091,50,1,6,109,374,16,13,1385,111
plate,0,1228,1510,969,9209,2242,143,1194,84,140,3354,31007,583,41184,4406,5809,12786,3183,1078,2848,100,7678,6290,3134,84312,3,288,28786,93731,6571,18774,256929,14228,109280,2724,2197,376,8588,9791,99,122,1436,99188,987,181,664,7448,7411,191,273,96819,8812
play,2,73053,14605,12752,151847,1305803,5881,268848,5131,2835,1150813,1778331,3676,1388851,22344,84724,133921,21254,5573,48204,9932,648006,55373,92936,2429374,24,8127,317949,3616174,277620,5964183,398671,227337,3994128,390527,1639,14216,1019610,110385,16080,4239,1044693,1063883,419455,1630,9382,49083,190371,4330,39258,8214890,314972
plead,0,132,3,1,49,164,2,7,0,0,17,397,0,241,96,19,303,1,0,6,0,124,7655,45,23441,3,0,159,1042,75,2338,350,45,732,123,1,12,7513,54,4,0,48,16194,15,6,10,45,29,14,16,22368,51
plod,0,107,0,112,32,2,71,4705,3,1,722,31,0,81,178,72,10,10,1,5,0,17,106,2,105,9,440,48,165,73,33,140,56,1539,7,12,1,79,77,6,27,1854,262,3,41,95,3,117,3,0,62,3
plonk,0,6,1,2,12,5,2,9,0,0,37,50,0,71,58,23,8,2,0,1,0,7,2935,1,122,0,0,71,462,83,1703,41,25,278,177,34,1,110,16,2,0,6,100,8,0,1,3,18,1,0,53,3
plop,0,102,4,9,203,33,1,24,0,1,135,340,0,406,23,690,126,30,2,19,1,61,37043,28,5673,1,12,224,8116,2967,18461,1409,328,4698,1946,1020,51,3797,501,2,1,63,685,52,1,6,26,446,7,5,1913,43
plough,0,12,4,17,15,3,468,23,0,0,30,124,6,84,70,108,36,17,0,3,0,49,141,12,183,3,117,49,681,1459,496,53,26,1885,23,5,0,48,101,18,4,7016,370,1,0,6,30,116,1,8,152,37
plow,0,70,7,114,270,52,2922,238,1,8,371,695,9,745,630,401,229,135,14,43,8,304,1787,102,2407,31,1731,442,3747,14839,4348,278,238,6088,295,79,25,705,2605,212,2,67702,3098,27,9,64,2763,852,5,18,1634,156
pluck,0,102,143,8,101,16,1,83,2,47,293,499,0,1841,1037,48,101,16,27,244,6,115,284,48,605,5,2,1763,1151,161,14014,720,2304,681,2314,4,31,10883,79,10,3,92,1061,33,3,19,85,5336,4,19,1459,66
plug,0,1238,238,91,3069,472,223,1280,15,113,1220,7849,222,12532,6519,14559,3979,668,254,576,22,2416,730,730,124394,1,52,12845,695725,164666,433579,11796,5568,98148,17952,794,214,21113,1648,47,41,1511,44111,639,21,90,1230,21016,20,191,18965,1728
plumb,0,5,5,9,17,10,1,2,1,1,36,561,2,78,12,64,64,3,4,13,1,61,102,23,451,0,0,122,1780,191,1878,82,45,253,111,2,1,451,38,2,3,87,512,27,1,1,19,204,0,3,330,37
plump,0,12,2,1,289,4,0,6,0,2,74,1533,0,240,4,515,114,96,0,7,1,119,100,74,3228,0,0,258,1339,26,877,135,14,235,381,4,2,392,44,0,256,19,649,3,2,4,14,5921,6,17,1118,96
plunge,0,289,2,28,1382,34,329,30,8,1,84,1589,4,1475,235,1466,428,11,165,52,17,543,1646,379,3588,22,258,1275,9583,29513,5711,1501,839,8293,419,108,3,407,489,39,8,817,9100,153,129,296,92,161,8,28,4589,398
plunk,0,10,0,1,7,7,1,31,0,0,185,23,1,72,268,24,3,3,1,2,0,10,11405,1,171,0,0,23,605,192,1446,102,29,176,201,18,1,440,19,0,1,26,45,12,0,0,3,12,1,0,62,2
ply,0,55,13,38,107,172,54,63,0,31,250,813,0,1041,50,99,168,35,12,146,6,347,151,91,2918,0,5,674,1952,292,1411,1728,155,2324,197,37,35,193,400,5,6,229,2262,157,2,4,125,119,10,12,2976,131
point,2,1386141,46190,400534,125729,63528,7154,25117,5071,2072,22594,402629,7793,757789,24139,34359,121642,50155,13028,79385,15093,238067,55085,110663,2395933,1092,86051,176563,6374754,69157,1740536,15278999,23993,884093,82646,1568,1345,4942414,51872,5607,2083,21666,3753905,2080,20221,83895,12862,47743,1957,5506,573589,96743
poke,0,2563,317,65,1179,1278,65,501,24,55,113406,6439,41,67626,2147,4564,2030,253,57,328,56,1764,5174,818,9789,4,201,12868,30170,6818,49962,6198,1298,9586,3128,272,133,29564,1337,203,155,21378,13418,80,32,183,744,2745,15,205,39828,2082
polish,0,608,68,182,2217,161,24,265,65,38,1098,12544,89,6643,819,687,4598,171,60,430,67,3190,650,966,19565,0,24,8275,28506,1985,62767,12286,19843,47002,6071,534,54,5292,3679,61,61,399,34738,111,14,57,593,23305,44,771,13702,1181
pony,0,253,30,72,836,112,14,75,54,20,580,4038,33,3302,136,599,1010,212,19,56,24,2763,523,428,9967,1,19,3218,18229,1239,1426,4514,301,8634,1296,76,31,1080,678,34,30,223,9742,113,6,20,197,114586,24,283,11169,686
poop,0,2927,113,307,8107,339,71,429,54,33,3489,10887,103,32533,1700,3589,10233,1111,91,659,26,2892,2001,1304,28211,3,36,20799,170351,13019,14267,6734,8681,144486,2174,810,48,44274,2208,56,37,2358,22961,1167,25,122,1975,3832,149,533,18709,6322
pootle,0,140,0,4,0,0,0,218,0,0,311,4,0,2,13,5,2,1,0,0,0,0,17,0,4,0,0,4,21,8,3,1,38,40,0,1,0,13,15,11,32,16,24,0,0,1,0,11,0,0,4,2
pop,1,2439,810,1381,7766,2648,125,3433,149,1110,7817,27564,114,39514,1263,68740,7942,1333,174,1235,96,28747,19063,6604,76048,35,630,26974,412015,151189,235937,62599,145470,100352,37546,5009,42649,438350,48005,344,3556,6847,61750,817,39,201,2517,1892498,317,1330,36988,4577
pore,0,20,8,10,76,4,0,8,4,2,26,242,0,156,8,33,51,8,6,4,0,89,27,34,382,2,0,195,1795,113,305,2967,22,2261,178,5,65,167,9708,2,0,2256,1011,2,1,1,25,30,12,9,468,54
pose,0,668,234,66,3233,727,17,179,72,18,715,66659,109,8376,142,542,3368,372,43,238,30,2630,1758,1565,79202,2,15,8643,41846,595,15455,13888,900,15407,1657,64,47,1039,1156,7,5,200,45598,1142,47,244,279,505,126,226,42414,2371
post,0,2525935,208254,3198,191118,11402,3216,44544,1475,2416,20298,1850167,3913,1571982,19069,163069,1138663,2177,82757,4656,2592,703593,57145,52715,1431756,24,310,943719,3012186,37890,3424327,605965,35948,3880030,159180,4833,6845,54252,110369,2895,2467,19865,4457813,6484,550,3286,35479,259043,2504,9771,3160669,924726
pot,0,2908,518,622,8277,1396,89,1585,256,99,3016,30007,224,30051,1344,3822,14468,1159,250,1356,69,9059,2827,3249,91245,7,30,22359,111291,7884,21822,362801,5123,70638,3982,728,293,7776,10982,124,50,1797,99534,2308,47,230,2271,8819,81,511,115057,6581
potter,0,1344,32,20,1343,66,7,249,67,28,1560,10065,66,5132,102,555,1448,90,13,54,50,2949,141,723,11718,0,4,3150,16375,995,1455,2180,210,5512,3872,31,166,608,770,53,124,291,10935,302,2,19,271,252,13,230,7458,1279
pound,0,608,394,91,2965,1337,45,113,29,53,583,6447,16,12040,10739,4084,1694,106,375,432,50,3894,4962,905,74128,1,147,6274,26298,5146,33403,325738,3392,29603,4510,128,69,10847,3927,57,249,2183,20206,137,12,64,1001,1206,131,147,6123,1029
pour,0,3752,40,574,597,81,3,109,5,2,663,3895,3,3488,1067,2135,364,23,26,166,12,421,7976,717,4233,1744,79,11568,82329,62033,157280,10409,7854,18538,29407,2950,60,70951,74739,51,34,9451,3722,84,20,91,132,3941,354,358,3256,760
power,0,5495,9234,10679,51516,37066,1190,5173,8410,583,15069,338480,1804,234302,61525,114884,36926,58489,1953,42390,13777,196613,71443,33089,622269,48,61347,409870,1213324,82548,249083,3039202,96054,366012,19435,4161,560,82372,732970,3018,1096,280685,4264392,2882,1445,5988,23285,381825,3603,4174,206089,61577
practise,0,66,5,53,271,1094,22,48,146,13,116,2396,9,2359,38,67,998,26,3,70,13,848,37,245,6927,0,3,549,9004,165,8943,5753,57,5590,378,10,42,506,289,34,79,65,8958,334,7,35,136,101,18,49,8104,567
prattle,0,1154,4,2,3,5,0,18,2,0,27,38,4,204,59,10,8,1,4,8,1,14,3,5,125,0,0,114,91,10,28,331,561,11523,10,1,0,37,17,0,1,13,123,0,0,2,1,6,1,0,58,10
preside,0,1,9,0,11,3,0,1,1,0,1,395,0,486,1,1,10,1,0,1,0,16,3,5,115,0,0,33,874,1,13,135,0,160,3,0,0,2,21314,0,0,7,84,6,0,0,19,0,9,0,66,21
press,0,31752,357,409,9497,19799,2795,955,286,107,5793,38141,193,30832,3630,15203,8401,1015,149,1143,328,11099,77588,3800,123171,119,16361,26726,98212,17510,237663,68355,2970,170559,26977,1853,1658,10679,7969,356,131,4418,138858,2548,472,1244,1580,29730,1079,814,46635,6276
presume,0,719,16,6,435,50,9,19,8,6,115,1736,6,1427,94,28,131,12,8,34,32,2286,25,384,2361,0,4,2573,2450,18,59224,358,36,1209,1466,1,25,79,90,13,3,111,90829,1,2,12,89,32,373,130,1242,284
prevail,0,33,240,113,447,9398,5,26,312,0,57,1959,1,1593,1,23,247,11,1,85,47,725,24,707,1616,4,5,307,20660,56,230,139,12,3512,189,2,2,33,13910,18,2,943,719,39,1,13,408,18,719,9,1613,484
prey,0,293,100,195,1011,241,23,145,92,341,923,5455,12,5305,437,680,3998,93,113,120,34,6497,1504,666,27963,0,5,4817,16596,2919,2098,6293,1845,185610,373,111,71,1195,1149,8,11,951,111664,196,41,216,376,886,23343,86,7891,1304
price,0,6472,9121,4077,43953,3550,894,2739,851,237,17444,453557,3288,194272,598,22558,39413,591,10206,19483,1745,98227,128910,32504,1567835,3,140,100969,408909,9102,220272,3211113,10715,571228,10753,603,226,38499,37249,709,240,8732,845592,1090,247,1085,7284,126723,1369,7132,121076,29776
prick,0,24645,114,64,1156,179,7,65,53,15,453,5369,47,6207,146,980,1157,582,53,68,35,2712,468,1100,18662,0,201,3588,24840,660,2083,10793,1257,11476,324,23,30,1715,1383,9,13,413,35389,10,123,958,137,2773,29,182,13448,932
print,0,4912,979,590,3607,239,85,532,58,51,1489,24115,99,39337,1091,1020,6643,556,1094,493,141,5547,1335,2481,46340,4,26,30276,63528,1743,239539,99317,47691,133292,31177,2898,97,292241,3632,117,196,2065,53361,195,24,115,1947,18470,112,653,35685,6041
proceed,0,603,29,460,3248,1374,500,1429,8,11,283,30982,14,92424,58,1026,847,63,90,95,909,5543,3168,853,2918,165,4648,33542,25786,5745,1389,457,127,14146,328,960,12,997,531,2567,7,13685,846362,269,489,1579,1875,1068,167,21,225755,12176
profit,0,1591,7249,604,22356,944,1199,1120,387,75,1692,57820,323,55211,1762,4981,13335,504,162,1564,734,68877,1981,12279,176673,0,37,514555,161114,5491,13040,112495,264035,187397,2838,184,347,30772,32716,173,48,8705,131106,354,147,757,4971,1757,399,1073,47684,17721
pronounce,0,485,3,25,119,38,0,8,13,0,27,3797,3,843,7,27,89,0,4,17,3,395,13,469,3971,4,14,250,4198,27,370243,286,28,1200,1166,2,13,289,87,16,1,25,974,40,5,9,23,17,224,37,1710,629
prop,0,167,62,36,518,501,14,86,17,20,285,2425,20,3188,79,592,629,166,29,89,14,1399,344,206,23550,0,390,9147,17097,640,27817,4603,611,6938,1566,104,2407,863,415,12,43,297,20462,42,9,33,392,200628,35,33,4149,516
provide,0,7431,1111,137,3046,1024,31,448,68,110,1951,59499,180,59031,88,2732,1719,110,582,531,634,5269,359,19053,553105,3,610,3093,35906,525,198062,2604,847,14366,67414,28,1360,1190,5672,284,341,1811,99565,109,55,260,659,5821,400,4260,16411,2937
pry,0,1113,4,3,121,339,2,25,0,2115,299,530,11,1812,2823,325,30,24,1,145,92,81,136,157,2089,3,15,1526,1225,13969,41623,233,6383,2254,1173,9,12585,4979,70,50,5,406,1184,3,4,16,161,3433,37,31,1387,74
psych,0,4223,3,9,755,28,8,59,19,6,92,4124,27,3179,23,257,1016,179,3,16,21,413,56,266,7195,1,0,1168,6734,240,1044,1769,99,2453,535,7,8,4073,314,26,2,146,7318,103,5,23,84,2829,5,105,3095,382
pucker,0,18,5,10,70,15,0,22,0,1,98,307,1,387,10,31,63,2,5,17,0,56,32,44,380,0,3,215,731,87,108,402,18,405,21,5,17,177,48,1,0,18,341,9,1,0,15,13542,1,11,296,13
puff,0,1807,155,30,938,378,7,99,6,4,371,2578,21,3567,3002,583,1234,88,48,87,9,503,356,289,3949,0,18,4313,7334,902,5539,62544,2155,13403,683,59,28,13004,563,39,18,301,5344,50,11,34,130,24637,27,83,2858,532
pull,1,9618,1125,2353,9026,5893,32792,2744,349,30010,13234,37463,3644,56883,124071,235839,8883,3875,261,5756,317,7543,181244,8742,193722,280,14432,213460,302735,75027,1450525,200308,1303659,295138,102595,4386,5861,1576497,289385,1730,223,167559,115354,46242,2901,11968,2523,838042,548,4146,65359,5857
pump,0,2283,525,318,8596,780,233,599,43,322,2329,19578,62,29163,2578,6921,9385,641,313,1175,103,4564,3388,2652,55038,5,269,18451,72897,21595,86270,20633,6802,41712,4758,489,215,192347,4575,229,214,4991,74935,309,40,197,1276,106962,82,686,30246,3509
punch,0,1102,13592,451,8669,4384,45,313,45,249,916,20529,128,40547,3561,17112,5473,1246,748,501,121,12435,23678,2843,35115,4,500,36374,200379,8955,83543,40557,3614,37522,10920,377,563,72210,2957,555,70,88459,150940,232,209,1109,522,24611,86,3285,40204,5177
push,2,4927,2131,3097,9796,62365,9353,3700,734,788,26232,52655,10915,35031,55190,377688,8829,4664,405,1531,7414,32453,107793,12511,803471,2376,102953,57737,165985,87592,895221,57567,78362,169470,29780,7431,5904,240569,45725,62779,472,378789,520193,5221,12018,53356,2363,201049,736,3042,87959,8923
put,80,97728,22171,17851,8612,32849,8790,2018,551,689,42142,177062,193970,155107,328356,313903,25143,44699,4385,19967,857,27822,1446474,35348,53138,347399,258255,5099,8668935,2755167,11431539,63972,591111,5824500,554818,60432,1882,2281049,125088,6054,1204,157950,644476,1775041,18635,86864,157269,4252617,26363,55556,54867,1866
puzzle,0,1489,108,76,2034,132,67,235,35,185,538,6345,59,6417,267,778,3673,304,58,196,60,3618,399,743,23498,0,12,5289,34993,1209,6493,24949,233,9037,1389,67,68,13913,4214,33,112,1629,39342,12984,38,169,264,520,48,167,18370,2978
quarrel,0,1216,6,0,38,195,0,6,222,0,6,164,13,358,9,30,63,14,3,1698,3,101,1,22,252,0,0,197,1026,42,52,412,5,329,26,1,0,42,2143,1,0,70,386,5,0,4,9,14,5,2,22708,25
queer,0,746,6,12,174,29,1,21,40,1,150,16531,7,1209,125,123,350,68,1,5,5,861,36,418,3108,0,12,539,7244,112,857,817,348,2135,711,4,40,336,225,14,11,38,4392,41,1,5,41,677,3,558,1368,413
quieten,0,2,0,0,6,0,0,0,0,0,1,15,0,3,0,5,0,0,0,0,0,3,2855,3,3,0,0,6,14,2,424,4,10,5,0,0,0,5,4,0,0,0,9,0,0,0,0,44,0,0,5,0
quit,0,17453,42,23,159568,1969,228,773,42,33,9224,34897,62,61287,121,6328,70052,46,17,907,68,18890,1402,7142,165336,1,7,15991,93758,392,125525,3125,817,117517,13006,20,130,51255,26298,70,97,1382,59138,1937,64,340,1242,459,560,1507,65448,26322
rabbit,0,437,51,193,1179,124,19,114,58,63,829,5842,22,5630,408,1340,2029,237,30,232,7,4359,1932,424,10942,0,5,9739,31606,2177,1603,5511,589,12350,1899,93,59,14305,975,16,54,476,14900,134,11,47,421,1026,18,83,14200,1123
race,0,4659,6537,6731,22300,69015,3239,2532,2262,1123,17018,168095,2754,105898,2357,12391,23530,2684,328,49314,1225,48210,11095,16049,246463,14,2028,60213,391470,61718,49077,370737,5814,118655,9434,774,497,17926,22984,2148,455,20662,528892,5544,1491,5070,5261,11850,388,1822,179451,24224
rack,0,832,2087,339,3304,332,23,430,47,142,962,9853,49,24605,409,1711,3448,1941,891,719,15,3750,1413,775,55137,0,136,10032,50986,4020,20031,62864,5754,37321,1623,1352,326,5129,4456,32,31,630,45414,467,35,86,1384,288919,127,138,33656,2802
railroad,0,155,36,414,411,76,19,106,7,5,170,1973,4,1161,35,196,499,67,16,391,10,790,117,172,3698,1,2,1306,6055,409,883,1160,63,1337,362,20,20,342,394,26,9,1096,6352,30,8,52,95,233,9,77,1494,350
rain,0,1603,412,639,7199,1744,206,523,93,39,2626,21155,125,29417,1515,2300,6914,356,181,963,75,14517,58284,2670,61709,47,12,27558,115627,3111,11725,73141,7039,192701,3300,575,48,11969,9158,124,62,1924,50837,547,74,331,1312,3046,6580,232,32366,6767
rake,0,146,19,527,336,551,3,83,7,6,258,1457,20,2426,333,1171,390,93,8,50,2,449,416,179,3434,0,31,1403,122544,534,11431,3556,633,4004,267,39,365,1741,1094,9,9,1255,5340,97,9,33,70,7753,10,32,3318,167
rally,0,2919,167,507,4480,33539,154,245,99,15,58548,7611,51,16542,149,3952,3393,57212,17,281,70,3902,927,1285,43508,105,36,5465,95462,1609,3533,10605,976,18941,1210,60,70,935,1965,225,3307,673,50400,9445,96,521,2692,11135,74,133,20285,1914
ramble,0,25937,107,51,188,78,156,191,9,2,612,1043,253,2293,1024,144,169,7,89,85,25,250,117,173,5771,8,3,591,2328,406,389,1868,3597,69315,49,46,0,596,1597,18,11,662,2512,36,15,51,12,130,10,190,1253,451
ramp,0,479,1052,298,2010,588,267,294,26,33,512,7183,46,14716,268,4564,3028,1118,401,1090,52,2606,11398,725,20600,0,57,10249,24869,18491,30101,7556,3184,17977,764,2528,248,5700,3203,261,16,651,55129,156,231,1097,619,341598,35,484,18157,2117
rap,0,48213,59,136,1604,820,19,5298,456,66,2423,16601,135,11560,160,1930,2697,100,24,165,116,6116,1128,1305,39153,0,60,14497,38430,1725,8889,4498,1958,28593,1255,71,32,3472,20314,91,82,832,22207,647,18,90,348,2012,84,373,17203,2009
rat,0,964,86,101,1541,546,11,102,135,49,794,6201,40,5817,452,1064,2316,396,36,119,9,2952,859,793,13881,1,2,7854,53714,2961,2205,4233,963,29150,1439,183,69,23039,1211,24,30,599,20419,139,19,66,921,1628,22,311,17545,1170
ratchet,0,87,10,19,116,29,2,25,4,12,91,2330,4,552,41,758,165,16,2,24,6,215,2560,78,1534,0,34,1317,2306,242,3232,493,104,1657,225,25,32,187,145,7,67,68,2798,17,21,56,58,16049,3,89,1676,113
ration,0,52,32,18,120,80,2,14,29,0,54,662,6,536,32,64,119,43,31,786,8,466,98,105,2766,0,0,761,2635,119,6940,15965,151,1898,115,8,2,4506,134,4,1,79,2349,7,2,9,45,86,2,24,1004,92
rattle,0,558,31,68,437,847,1,128,3,483,7628,1809,6,3225,192,269,419,107,13,152,2,378,347,302,1778,0,6,2226,6128,132,2601,7835,39251,7722,221,10,35,1595,352,21,39,872,2097,126,4,22,209,389,39,18,1672,149
